ProductNameEN;ProductNameUA;ImageLink;Price;DescriptionEN;DescriptionUA
C++ coach;Тренер з C++;C++_coach.png;22.8$ per hour;Learn The C++ Programming Language;Вивчи мову програмування C++
Apple;Яблуко;apple.png;3$ per kilo;A strange apple;Дивне яблуко
Brothers;Брати;brothers.png;25$ per session;A duo boxing session with two mentors;Дуетне боксерське тренування з двома наставниками
OXXXYMIRON;OXXXYMIRON;oksi.png;18$ per hour;Legendary Versus battle mentor;Легендарний ментор батлів Versus
Professor;Професор;prof.png;228$ per hour;Deep theoretical Mathematics learning with an expert;Глибоке вивчення математики з експертом
Rapper;Репер;reper.png;20$ per hour;Learn rhythm, flow and expression;Вчись ритму, флоу та самовираженню
Village lady;Сільська пані;selo.png;12$ per hour;Simple lifestyle knowledge and discipline;Знання простого способу життя та дисципліни
Cool person;Стильна людина;smoking.png;28$ per hour;Learn elegance and confident posture;Вчись елегантності та впевненої постави
Stylish;Стильний;stilnii.png;22$ per hour;Improve your personal fashion sense;Покращуй власне відчуття стилю
Warrior;Воїн;warrior.png;30$ per hour;Strength and endurance focused training;Тренування на силу та витривалість
Volodiya Mentor;Володя Ментор;NULL;12$ per hour;Mighty Volodiya;Могутній Володя
